Date,Open,High,Low,Close
20190201,3460.55,3501.95,3431.59,3487.95
20190202,3484.63,3523.29,3467.57,3521.06
20190203,3516.14,3521.39,3447.92,3464.01
20190204,3467.21,3476.22,3442.59,3459.15
20190205,3454.95,3478.15,3451.94,3466.36
20190206,3469.09,3469.09,3398.57,3413.77
20190207,3414.93,3427.95,3394.22,3399.47
20190208,3401.38,3695.61,3391.02,3666.78
20190209,3671.59,3679.94,3646.56,3671.2
20190210,3673.2,3695.04,3640.98,3690.19
20190211,3695.61,3695.61,3642.29,3648.43
20190212,3642.75,3668.59,3618.56,3653.53
20190213,3653.6,3669.75,3617.25,3632.07
20190214,3631.17,3646.26,3607.7,3616.88
20190215,3617.37,3647.8,3608.21,3620.81
20190216,3615.27,3652.84,3615.27,3629.79
20190217,3633.36,3680.54,3619.18,3673.84
20190218,3671.37,3936.67,3669.98,3915.71
20190219,3911.66,4010.88,3908.15,3947.09
20190220,3946.69,4000.49,3926.25,3999.82
20190221,4000.26,4010.01,3940.11,3954.12
20190222,3952.41,4006.54,3950.82,4005.53
20190223,3998.92,4166.29,3968.73,4142.53
20190224,4145.46,4210.64,3793.71,3810.43
20190225,3807.0,3913.71,3807.0,3882.7
20190226,3878.7,3891.58,3837.99,3854.36
20190227,3857.48,3888.8,3787.06,3851.05
20190228,3848.26,3906.06,3845.82,3854.79
20190301,3853.76,3907.8,3851.69,3859.58
20190302,3855.32,3874.61,3832.13,3864.42
20190303,3862.27,3875.48,3836.91,3847.18
20190304,3845.09,3867.38,3733.75,3761.56
20190305,3759.83,3903.92,3745.18,3896.38
20190306,3897.08,3919.51,3871.46,3903.94
20190307,3903.38,3939.37,3894.11,3911.48
20190308,3913.23,3950.43,3875.23,3901.13
20190309,3894.55,3987.24,3892.39,3963.31
20190310,3966.17,3966.17,3924.38,3951.6
20190311,3953.74,3966.38,3889.24,3905.23
20190312,3903.76,3926.89,3863.56,3909.16
20190313,3913.05,3926.6,3891.9,3906.72
20190314,3905.58,3946.5,3901.3,3924.37
20190315,3926.66,3968.54,3914.02,3960.91
20190316,3963.9,4077.04,3961.66,4048.73
20190317,4047.72,4054.12,4006.41,4025.23
20190318,4029.97,4071.56,4009.12,4032.51
20190319,4032.69,4082.22,4023.81,4071.19
